net,length_um
net2008,1.47275mm
clknet_leaf_7_clk_i,1.47274mm
_045400_,1.471545mm
net1706,1.47132mm
net1791,1.47014mm
_016408_,1.46958mm
_015333_,1.46944mm
net432,1.46888mm
net1757,1.46801mm
net1842,1.46654mm
net1735,1.46649mm
net6161,1.465485mm
data_axil_araddr\[16\],1.46545mm
net1813,1.46472mm
net1800,1.46413mm
net1815,1.46385mm
net1806,1.46354mm
net2065,1.46334mm
net1838,1.46329mm
s9_rdata\[10\],1.462875mm
net1725,1.46249mm
_015503_,1.4623mm
net1846,1.46142mm
net5136,1.4614mm
_019175_,1.46124mm
net426,1.46119mm
net2070,1.46036mm
net1869,1.46018mm
net962,1.46002mm
net2068,1.45964mm
net1759,1.45933mm
net427,1.45856mm
net421,1.45855mm
_013336_,1.45791mm
clknet_leaf_9_clk_i,1.45785mm
net84,1.4556mm
s10_rdata\[0\],1.45536mm
net1859,1.45502mm
_016417_,1.45492mm
net1763,1.45463mm
net1988,1.45335mm
net1406,1.45227mm
net1861,1.45184mm
net1823,1.45149mm
net2122,1.4512mm
_020402_,1.45065mm
net403,1.45027mm
net5880,1.449mm
net5967,1.44829mm
net415,1.44805mm
net1840,1.44706mm
net1849,1.44704mm
net1577,1.44652mm
_016433_,1.4465mm
net5221,1.44603mm
net189,1.44574mm
net1078,1.44566mm
_015526_,1.44537mm
net1822,1.44515mm
data_axil_araddr\[9\],1.44464mm
_047987_,1.4445mm
net2067,1.44371mm
net1863,1.443085mm
net1836,1.44258mm
_034326_,1.44162mm
net433,1.44149mm
_012415_,1.440525mm
_046347_,1.440445mm
u_npu.u_npu_engine.rq_scaled\[4\],1.44008mm
net1609,1.43998mm
net5744,1.4393mm
data_axil_araddr\[13\],1.43756mm
data_axil_araddr\[24\],1.43612mm
_015447_,1.43218mm
net1750,1.43163mm
data_axil_araddr\[10\],1.43124mm
net156,1.42813mm
net6207,1.428055mm
net1565,1.427095mm
_035617_,1.42654mm
net6009,1.426255mm
u_npu.axi_ram_addr_a\[5\],1.424805mm
u_npu.ram_rdata_a\[5\],1.42456mm
s10_rdata\[22\],1.42276mm
net1819,1.42264mm
net1882,1.42106mm
net1922,1.42037mm
net1744,1.42003mm
net1752,1.41872mm
net231,1.41836mm
data_axil_araddr\[8\],1.4181mm
net1880,1.41786mm
net41,1.416095mm
_016990_,1.41585mm
data_axil_araddr\[14\],1.41524mm
net1737,1.415mm
net17,1.41408mm
_012302_,1.413675mm
net6192,1.41179mm
data_axil_araddr\[0\],1.41159mm
net1739,1.4115mm
net255,1.41054mm
net5934,1.40835mm
net5931,1.408275mm
_015364_,1.40784mm
net19,1.40736mm
net5146,1.40732mm
net722,1.40726mm
_028205_,1.40644mm
_016428_,1.40583mm
net211,1.4051mm
_016633_,1.405015mm
net5972,1.404705mm
_013060_,1.404675mm
_016410_,1.40442mm
net6232,1.40389mm
_016400_,1.40336mm
net5915,1.40086mm
u_npu.axi_ram_addr_a\[3\],1.400815mm
_044705_,1.40008mm
net28,1.3987mm
net1746,1.39848mm
net244,1.39833mm
net6291,1.398085mm
_000040_,1.39707mm
net1790,1.39677mm
_015078_,1.39664mm
_016815_,1.39569mm
net1430,1.39476mm
net198,1.39175mm
net5928,1.39095mm
_015521_,1.39026mm
net1554,1.39007mm
net6001,1.38994mm
net200,1.38846mm
net6606,1.38832mm
_014535_,1.38746mm
net242,1.38712mm
net1,1.38696mm
_015319_,1.38672mm
clknet_leaf_4_clk_i,1.38589mm
net5267,1.38562mm
net1947,1.38468mm
net154,1.38438mm
net61,1.38434mm
net767,1.38376mm
net6228,1.38375mm
net1871,1.38332mm
net2077,1.38329mm
_034348_,1.38295mm
clknet_leaf_11_clk_i,1.3818mm
net35,1.3816mm
net222,1.38097mm
net6212,1.38082mm
u_npu.axi_ram_addr_a\[7\],1.38031mm
net5884,1.38012mm
net2074,1.3786mm
net6193,1.37716mm
net6274,1.3768mm
net1853,1.37667mm
_016435_,1.37606mm
net264,1.37598mm
_000039_,1.37386mm
_016542_,1.37359mm
u_npu.u_npu_engine.mac_kw_q\[0\],1.37348mm
net1783,1.37298mm
net165,1.37285mm
_015457_,1.37272mm
s9_rdata\[9\],1.372595mm
s10_rdata\[16\],1.37217mm
net6162,1.37214mm
u_uart2.rx_data_w\[3\],1.371955mm
net187,1.37151mm
_016450_,1.37119mm
net253,1.37106mm
net60,1.36986mm
net176,1.36978mm
data_axil_araddr\[15\],1.36811mm
net5971,1.36759mm
_015505_,1.36522mm
net178,1.36409mm
u_npu.u_npu_engine.rq_scaled\[1\],1.36374mm
net167,1.36178mm
net1221,1.36123mm
s9_rdata\[2\],1.36014mm
_016476_,1.35959mm
net173,1.35838mm
_027837_,1.35833mm
_035576_,1.35808mm
net1943,1.3574mm
net277,1.35678mm
_013928_,1.35635mm
net162,1.35562mm
data_axil_araddr\[26\],1.35544mm
net151,1.35464mm
gpio_irq,1.3543mm
clknet_leaf_12_clk_i,1.35425mm
net6202,1.3536mm
net233,1.35297mm
_015458_,1.35266mm
_035237_,1.352425mm
_015385_,1.35242mm
net5932,1.35239mm
net6,1.35197mm
_016455_,1.35186mm
_045880_,1.351075mm
net6633,1.3505mm
_016505_,1.34994mm
net62,1.34984mm
net1866,1.34863mm
net209,1.34842mm
_013874_,1.34644mm
net1337,1.345285mm
_016635_,1.34462mm
net1590,1.34433mm
_039918_,1.34317mm
net206,1.34307mm
_013872_,1.33872mm
data_we,1.33863mm
net1902,1.33669mm
net184,1.33589mm
_047079_,1.334355mm
data_axil_araddr\[3\],1.33435mm
_015320_,1.33256mm
net217,1.33042mm
net310,1.33039mm
_046806_,1.33024mm
_047076_,1.32878mm
net2042,1.32817mm
net1753,1.32785mm
data_axil_araddr\[29\],1.32776mm
_020399_,1.32626mm
net1710,1.3262mm
net6011,1.3261mm
net195,1.32507mm
net1773,1.32491mm
net5996,1.32419mm
net1912,1.32168mm
net1887,1.3211mm
_045635_,1.32078mm
s9_rdata\[11\],1.31961mm
net6163,1.319345mm
net220,1.31799mm
_018034_,1.31667mm
net5844,1.31596mm
net1700,1.31558mm
_015437_,1.31502mm
net5578,1.31454mm
_011969_,1.31428mm
net1889,1.31405mm
net1845,1.31362mm
u_npu.u_npu_engine.rq_scaled\[31\],1.31308mm
u_npu.ram_rdata_a\[18\],1.312875mm
net5082,1.31274mm
net5920,1.312305mm
net1774,1.31166mm
_027402_,1.31114mm
net6204,1.31111mm
_015418_,1.31108mm
_016525_,1.30955mm
_015378_,1.30918mm
net1923,1.30767mm
net5594,1.3067mm
data_axil_araddr\[31\],1.30645mm
_048223_,1.30634mm
_045512_,1.30598mm
net1875,1.30584mm
net1920,1.30504mm
_045015_,1.30498mm
net6158,1.30282mm
net1876,1.30239mm
net228,1.30236mm
_015366_,1.3021mm
_000118_,1.30092mm
net1829,1.30082mm
_000134_,1.30049mm
net1934,1.30026mm
data_axil_wdata\[12\],1.30024mm
u_npu.u_npu_engine.mac_kh_q\[3\],1.29954mm
net6882,1.298615mm
net1925,1.29742mm
net6353,1.296895mm
net1890,1.29611mm
net1747,1.29535mm
net6159,1.295335mm
clknet_7_90__leaf_clk_i_regs,1.29512mm
net6654,1.29497mm
net1897,1.2943mm
data_axil_araddr\[1\],1.294115mm
_015080_,1.29375mm
clknet_7_10__leaf_clk_i_regs,1.2932mm
clknet_7_91__leaf_clk_i_regs,1.29305mm
net6880,1.29231mm
net6116,1.29178mm
net1702,1.29168mm
net1833,1.29165mm
clknet_leaf_2_clk_i,1.29107mm
net2125,1.29042mm
_045302_,1.28907mm
net1708,1.28832mm
net1709,1.28693mm
u_qspi.tx_rd_ptr\[3\],1.2862mm
net5874,1.28579mm
net1802,1.28574mm
_045404_,1.28569mm
data_axil_wstrb\[2\],1.28542mm
net1883,1.28539mm
net1904,1.2853mm
net1740,1.28462mm
data_axil_araddr\[7\],1.28391mm
net250,1.28351mm
clknet_7_6__leaf_clk_i_regs,1.28194mm
net1707,1.28148mm
net6241,1.28141mm
_016520_,1.27988mm
net6205,1.27978mm
net1610,1.27933mm
net5979,1.2793mm
net5923,1.278955mm
net1895,1.27657mm
_034332_,1.27464mm
u_npu.u_npu_csr.ar_addr_lat\[4\],1.27422mm
_035236_,1.27402mm
u_core.id_stage_i.decoder_i.instr_rdata_i\[19\],1.2736mm
net1341,1.273465mm
_054194_,1.27297mm
net1713,1.27198mm
u_npu.u_npu_engine.state\[15\],1.27106mm
u_uart2.u_rx_fifo.rd_ptr_r\[3\],1.270895mm
net1899,1.27063mm
data_axil_araddr\[4\],1.2694mm
net1941,1.26856mm
net2078,1.268375mm
net1690,1.26821mm
