net,length_um
s10_rdata\[18\],1.17064mm
s10_rdata\[9\],1.17064mm
net7895,1.16957mm
net3099,1.168935mm
clknet_7_97_0_clk_i_regs,1.16877mm
_033699_,1.16866mm
s10_rdata\[13\],1.16844mm
net3388,1.16792mm
net1249,1.167305mm
_067552_,1.167235mm
net7913,1.16711mm
net7906,1.1668mm
u_core.alu_operand_b_ex\[3\],1.16668mm
net2362,1.1666mm
net1949,1.16659mm
net2845,1.16642mm
net2776,1.16636mm
_034830_,1.16579mm
net2124,1.16496mm
net2672,1.164655mm
net3145,1.16418mm
_021355_,1.16414mm
net3556,1.16377mm
net7892,1.1635mm
net2142,1.16214mm
net1950,1.16187mm
net3036,1.16174mm
net821,1.1615mm
_033927_,1.16121mm
_059564_,1.16098mm
net7935,1.1584mm
_036889_,1.15826mm
data_axil_wdata\[28\],1.15826mm
net2145,1.158055mm
net2266,1.15793mm
net7939,1.15722mm
_031979_,1.157mm
_030258_,1.15615mm
net2154,1.15514mm
net1599,1.15416mm
_060276_,1.15414mm
net2388,1.15362mm
net7898,1.15193mm
net2265,1.151445mm
net2772,1.15064mm
net500,1.15056mm
net2385,1.14982mm
_036803_,1.14964mm
_070175_,1.14928mm
_034339_,1.14925mm
_039992_,1.14915mm
net3473,1.1488mm
net2398,1.148315mm
net1420,1.14802mm
_033727_,1.14782mm
net3184,1.1478mm
net2666,1.14779mm
net7901,1.14747mm
net2408,1.14734mm
_033753_,1.14706mm
net2793,1.14537mm
net1258,1.14516mm
net2624,1.14504mm
net3496,1.14493mm
net512,1.14484mm
net2132,1.14438mm
net7745,1.14416mm
net7679,1.14362mm
net2781,1.14292mm
net3590,1.14092mm
_071277_,1.14066mm
net7904,1.14023mm
net7912,1.1397mm
_033963_,1.13962mm
net1433,1.139235mm
net3693,1.13913mm
net3608,1.13861mm
net1792,1.13784mm
_034360_,1.137675mm
net2613,1.13756mm
net2367,1.13719mm
net2340,1.13577mm
_031927_,1.13535mm
net864,1.1352mm
net6133,1.13512mm
_071250_,1.13498mm
net2670,1.134945mm
_034290_,1.13492mm
net2759,1.13479mm
net588,1.13449mm
_033744_,1.1336mm
net1266,1.132815mm
net7909,1.13174mm
net1421,1.130765mm
net7722,1.13072mm
_031943_,1.13068mm
iram_s_wstrb\[2\],1.13053mm
_034674_,1.13013mm
_033978_,1.12981mm
net584,1.1289mm
net2012,1.12883mm
net572,1.12871mm
net823,1.12786mm
_034280_,1.127665mm
_033814_,1.12702mm
net7915,1.12676mm
_031958_,1.1266mm
net3123,1.12658mm
net3088,1.12654mm
net1253,1.125395mm
net7907,1.12524mm
net2382,1.125135mm
net575,1.12507mm
u_npu.busy_sig,1.12506mm
net3141,1.12494mm
net579,1.12418mm
_034526_,1.123965mm
net6070,1.1239mm
_033784_,1.12296mm
net2726,1.12249mm
_033736_,1.122475mm
_028500_,1.1218mm
net2219,1.12159mm
_021424_,1.1197mm
_033904_,1.11948mm
_071269_,1.11945mm
net2127,1.11821mm
_045336_,1.11816mm
net1113,1.11812mm
_033639_,1.11766mm
_033712_,1.11746mm
net2853,1.11729mm
net2134,1.117285mm
s10_rdata\[0\],1.11728mm
net2682,1.11702mm
net3464,1.1166mm
net593,1.11638mm
_033654_,1.11624mm
net2669,1.115745mm
_033691_,1.11537mm
_034389_,1.1153mm
net573,1.1142mm
net2321,1.11406mm
net2819,1.11403mm
_034451_,1.11353mm
_033607_,1.11349mm
net1424,1.11343mm
net186,1.11288mm
net1465,1.11282mm
_034921_,1.11266mm
_031942_,1.1122mm
net523,1.1119mm
net3180,1.11182mm
_031962_,1.11134mm
net3515,1.111mm
_031853_,1.1095mm
net587,1.10944mm
_013071_,1.10936mm
net576,1.10883mm
_060470_,1.10873mm
_034182_,1.10826mm
_021352_,1.10813mm
_033720_,1.10798mm
_033972_,1.10762mm
net1974,1.1073mm
net3106,1.10714mm
_028426_,1.10695mm
_033799_,1.10654mm
net2111,1.106515mm
_033313_,1.1065mm
net1944,1.1063mm
net721,1.10628mm
net2942,1.10418mm
net1976,1.10301mm
_031913_,1.10272mm
_034203_,1.10253mm
net10120,1.10202mm
net1116,1.10115mm
net2889,1.10102mm
net545,1.10098mm
net235,1.1006mm
_034032_,1.09996mm
net1948,1.0996mm
_071263_,1.09958mm
_033993_,1.09944mm
net585,1.09847mm
_034015_,1.09839mm
net2680,1.097685mm
net2684,1.097355mm
_033919_,1.09688mm
net1975,1.09669mm
_033934_,1.09661mm
_033697_,1.09641mm
net534,1.0964mm
clknet_7_82_0_clk_i_regs,1.096375mm
net591,1.09614mm
_031868_,1.096045mm
_034002_,1.09592mm
net2737,1.09541mm
_034309_,1.095245mm
net7643,1.09438mm
_033769_,1.09408mm
net2907,1.09294mm
net2328,1.09281mm
net2179,1.09254mm
_034000_,1.09226mm
net2319,1.09214mm
net2530,1.09164mm
net2528,1.09155mm
net1941,1.09079mm
net2337,1.090675mm
net2770,1.09043mm
net1252,1.089755mm
net552,1.08916mm
_059890_,1.089mm
net3688,1.08786mm
_036709_,1.0877mm
u_npu.in_offset_addr\[0\],1.08734mm
net1251,1.086705mm
net2365,1.08665mm
net2009,1.08529mm
net2405,1.08503mm
_034017_,1.08494mm
_031931_,1.08484mm
net2677,1.08474mm
_031946_,1.08372mm
_033705_,1.08354mm
net1122,1.08315mm
net3447,1.082905mm
net2818,1.082825mm
net2755,1.08253mm
net567,1.08206mm
npu_irq,1.081975mm
u_npu.in_offset_addr\[1\],1.08141mm
net2888,1.0811mm
net2359,1.07954mm
net2277,1.07937mm
net3194,1.07906mm
net3007,1.07894mm
net2943,1.07862mm
net3392,1.07862mm
net2232,1.07814mm
qspi_irq,1.078115mm
net8324,1.07801mm
net2413,1.077785mm
net2155,1.07667mm
net2925,1.07588mm
net2761,1.07527mm
net2906,1.07466mm
net24526,1.07457mm
net504,1.07436mm
u_npu.out_offset_addr\[3\],1.0735mm
net1803,1.0735mm
net2121,1.07305mm
iram_s_wdata\[1\],1.0727mm
net1117,1.07167mm
net2850,1.07156mm
net3279,1.07107mm
net2324,1.07049mm
net1254,1.07028mm
net2791,1.07001mm
